title,url,discoutned_price,original_price,User-Agent
Multifunction USB 2.0 M2/ TF Card Reader w/ Lanyard CCR-85173,https://www.tinydeal.com/multifunction-usb-20-m2-tf-card-reader-w-lanyard-p-57252.html,1.36€,1.45€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
10Pcs LED Light Balloon for Wedding and Party Decoration SBK-522961,https://www.tinydeal.com/10pcs-led-light-balloon-for-wedding-and-party-decoration-p-163018.html,2.54€,3.45€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
Universal 6'' Phone Lanyard Necklace & Wrist Strap Card Bag Holder w Lanyard HHITH-543753,https://www.tinydeal.com/universal-6-phone-lanyard-necklace-wrist-strap-card-bag-holder-w-lanyard-p-172964.html,1.67€,2.67€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
S03 Smart Watch Waterproof Activity Tracker Smart Band Bracelet E-582866,https://www.tinydeal.com/s03-smart-watch-waterproof-activity-tracker-smart-band-bracelet-p-200781.html,11.54€,20.77€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
WLISTH Multifunctional Men's Quartz Watch Fashion 4 Hands Six Calendar Watch WWT-580987,https://www.tinydeal.com/wlisth-multifunctional-mens-quartz-watch-fashion-4-hands-six-calendar-watch-p-200675.html,10.66€,21.31€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
DUBERY Polarized Sunglasses Men's Driving Shades Male Sun Glasses S-580864,https://www.tinydeal.com/dubery-polarized-sunglasses-mens-driving-shades-male-sun-glasses-p-200630.html,5.29€,13.15€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
Neoprene Short Beach Socks Diving Socks Non-Slip Antiskid Scuba Dive Boots SGD-548443,https://www.tinydeal.com/neoprene-short-beach-socks-diving-socks-non-slip-antiskid-scuba-dive-boots-p-174657.html,2.75€,3.29€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
8mm Intelligent Thermometer Temperature Measuring Ring HHI-566384,https://www.tinydeal.com/8mm-intelligent-thermometer-temperature-measuring-ring-p-181149.html,1.58€,5.75€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
Mini Video Capture Card USB 2.0 HDMI Video Grabber Record Box for PS4 Game DVD HHIHE-583000,https://www.tinydeal.com/mini-video-capture-card-usb-20-hdmi-video-grabber-record-box-for-ps4-game-dvd-p-200736.html,8.87€,18.81€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
Double Zippers Design Multi-functional Storage Bag HHI-115510,https://www.tinydeal.com/double-zippers-design-multi-functional-storage-bag-p-68145.html,3.72€,3.93€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
